decision_date,lane_key,vehicle_lane,grays_sold_demand,evidence_source,evidence_rows,decision,reason,reconsider_when,apify_run_id,apify_cost_usd
2026-07-29,cx8_touring_kg,mazda_cx-8_touring_kg_wagon_auto_petrol,0.0,private Carsales shared batch,22.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,jolion_ultra_hybrid_a01,gwm_haval-jolion_ultra-hybrid_a01_wagon_auto_hybrid,0.0,private Carsales shared batch,6.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,colorado_z71_rg,holden_colorado_z71_rg_dualcab-auto-diesel,0.0,private Carsales shared batch,21.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,colorado_ls_rg_4x4,holden_colorado_ls_rg_4x4_dualcab-auto-diesel,0.0,private Carsales shared batch,26.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,colorado_ltz_rg_4x4,holden_colorado_ltz_rg_4x4_dualcab-auto-diesel,0.0,private Carsales shared batch,30.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,swift_gl_navigator_az,suzuki_swift_gl-navigator_az_hatch_auto_petrol,0.0,private Carsales shared batch,19.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-08-09,subaru_outback_2.5i_b4a_auto_petrol,Subaru Outback 2.5i B4A 4GEN automatic petrol wagon,15,private Carsales shared batch,10,held_high_km_only,The expanded exact evidence still ranges from 151333 to 412000 km and cannot support normal low and mid kilometre anchors,At least 6-9 exact private listings include meaningful evidence below 150000 km,7WqoauuNvqzoVM5jO,0
2026-08-09,ford_mondeo_ambiente_md_auto_diesel,Ford Mondeo Ambiente MD automatic diesel,14,private Carsales shared batch,4,held_insufficient_evidence,Only four exact private listings matched and all are between 129000 and 204948 km,At least 6-9 exact listings provide useful mileage spread including below 120000 km,7WqoauuNvqzoVM5jO,0
2026-08-09,ford_fiesta_cl_wt_auto_petrol,Ford Fiesta CL WT automatic petrol hatch,13,private Carsales shared batch,4,held_insufficient_evidence,Only four exact private listings matched across 2010 and 2013,At least 6-9 exact private listings span the WT model years and mileage range,7WqoauuNvqzoVM5jO,0
2026-08-09,honda_accord_vti_7thgen_auto_petrol,Honda Accord VTi seventh generation automatic petrol sedan,13,private Carsales shared batch,2,held_insufficient_evidence,Only two exact 2005-2007 generation private listings matched after excluding unrelated 1996 and 2009 VTi rows,At least 6-9 exact seventh-generation VTi private listings are available,7WqoauuNvqzoVM5jO,0
2026-08-10,kia_grand_carnival_si_vq_auto_petrol,Kia Grand Carnival Si VQ automatic petrol people mover,14,recovered private Carsales batch,5,held_insufficient_evidence,Only five exact private Si VQ petrol listings were recovered and the lane remains one listing below the minimum,At least 6 exact private Si VQ petrol automatic listings are available,a0OgyhtH9v8YGHZDa,0
2026-08-10,volkswagen_tiguan_147tsi_5n_auto_petrol,Volkswagen Tiguan 147TSI 5N automatic petrol SUV,14,recovered private Carsales batch,3,held_insufficient_evidence,Only three exact private 147TSI 5N listings were recovered,At least 6 exact private 147TSI 5N automatic petrol listings are available,a0OgyhtH9v8YGHZDa,0
