repair_key,repair_item,review_bucket,decision,target_category,canonical_defect,severity_hint,cost_model,notes
paint peeling on bonnet corrosion visible tailgate engine light on,paint peeling on bonnet corrosion visible tailgate engine light on.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
paint peeling on front bumper traction control light on,paint peeling on front bumper traction control light on.,Real repair gap,Add dictionary rule,mechanical,traction_control_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
paint peeling various panels engine idling rough,paint peeling various panels engine idling rough.,Real repair gap,Add dictionary rule,mechanical,engine_idling_rough,high,hard_avoid,bulk high-confidence review 2026-06-26
paint peeling various places large scuff on various places other warning light on dents or marks on body consistent with age and kilometres,paint peeling various places large scuff on various places other warning light on dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
paint peeling various places medium scuff on various places engine oil leak carpet worn in places,paint peeling various places medium scuff on various places engine oil leak carpet worn in places.,Real repair gap,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
park brake lever requires attention,park brake lever requires attention.,Real repair gap,Add dictionary rule,mechanical,brakes_require_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
parts car only tilt tray required for pick up,parts car only tilt tray required for pick up.,Unknown,Add dictionary rule,mechanical,tow_or_no_drive_required,high,hard_avoid,bulk high-confidence review 2026-06-26
posible head gasket,posible head gasket.,Unknown,Add dictionary rule,mechanical,head_gasket_issue,high,hard_avoid,bulk high-confidence review 2026-06-26
power steering fault,power steering fault.,Real repair gap,Add dictionary rule,mechanical,steering_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
push button does not start vehicle,push button does not start vehicle.,Unknown,Add dictionary rule,mechanical,push_button_does_not_start_vehicle,high,hard_avoid,bulk high-confidence review 2026-06-26
radiator warning light displaying on dash,radiator warning light displaying on dash.,Unknown,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
radio missing seat torn driver seat engine oil leak damaged multiple back seat stains,radio missing seat torn driver seat engine oil leak damaged multiple back seat stains.,Real repair gap,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
radio not working engine idling rough engine noise observed,radio not working engine idling rough engine noise observed.,Real repair gap,Add dictionary rule,mechanical,engine_noise_observed,high,hard_avoid,bulk high-confidence review 2026-06-26
rear diff bush needs replacing,rear diff bush needs replacing.,Unknown,Add dictionary rule,mechanical,rear_diff_bush_needs_replacing,high,hard_avoid,bulk high-confidence review 2026-06-26
rear shock absorbers requires attention,rear shock absorbers requires attention.,Real repair gap,Add dictionary rule,mechanical,abs_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
rear spoiler paint cracked on front bumper radio missing engine oil leak,rear spoiler paint cracked on front bumper radio missing engine oil leak.,Real repair gap,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
rear suspension requires attention,rear suspension requires attention.,Real repair gap,Add dictionary rule,mechanical,suspension_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
rear suspension requires attention tilt tray required,rear suspension requires attention tilt tray required.,Real repair gap,Add dictionary rule,mechanical,suspension_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
recommend inspection by qualified third party engine oil leak,recommend inspection by qualified third party engine oil leak.,Real repair gap,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
recommend inspection by qualified third party engine smoke visible transmission requires attention strongly recommend inspection by qualified third party,recommend inspection by qualified third party engine smoke visible transmission requires attention strongly recommend inspection by qualified third party.,Real repair gap,Add dictionary rule,mechanical,engine_smoke_visible,high,hard_avoid,bulk high-confidence review 2026-06-26
recommend inspection by qualified third party transmission requires attention strongly recommend inspection by qualified third party medium scratch on rh rear guard large scratch on front bumper seat torn driver,recommend inspection by qualified third party transmission requires attention strongly recommend inspection by qualified third party medium scratch on rh rear guard large scratch on front bumper seat torn driver.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
remote battery warning light on,remote battery warning light on.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
results of obd scan tool shown in vehicle images for more information engine noise observed engine knock,results of obd scan tool shown in vehicle images for more information engine noise observed/engine knock.,Unknown,Add dictionary rule,mechanical,engine_noise_observed,high,hard_avoid,bulk high-confidence review 2026-06-26
rhr brake light requires attention,rhr brake light requires attention.,Real repair gap,Add dictionary rule,mechanical,brakes_require_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
rhr suspension requires attention,rhr suspension requires attention.,Real repair gap,Add dictionary rule,mechanical,suspension_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
right rear quarter engine light on transmission requires attention strongly recommend inspection by qualified third party,right rear quarter engine light on transmission requires attention strongly recommend inspection by qualified third party.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehicleairbag warning light on,scratches and dents visible around vehicleairbag warning light on.,Real repair gap,Add dictionary rule,mechanical,airbag_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehiclecheck engine light on dashhood saggingrhr window requires attentiondent rear bumper,scratches and dents visible around vehiclecheck engine light on dashhood saggingrhr window requires attentiondent rear bumper.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehiclecheck engine light on windscreen chippeddent on rhr door and guardscuff on rear bumperother warning light on,scratches and dents visible around vehiclecheck engine light on windscreen chippeddent on rhr door and guardscuff on rear bumperother warning light on.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehiclediesel smoke apon startup suspension requires attention windscreen cracked flat battery engine observedrear middle seats not bolted down rear sub box not bolted down,scratches and dents visible around vehiclediesel smoke apon startup suspension requires attention windscreen cracked flat battery engine observedrear middle seats not bolted down rear sub box not bolted down.,Real repair gap,Add dictionary rule,mechanical,engine_smoke_visible,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehicleengine noise observed tilt tray recommended for collection windscreen cracked engine warning light on dash,scratches and dents visible around vehicleengine noise observed tilt tray recommended for collection windscreen cracked engine warning light on dash.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehicleengine warning light on,scratches and dents visible around vehicleengine warning light on.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehicleengine warning light onpassenger side headrest damagedcentre console torn,scratches and dents visible around vehicleengine warning light onpassenger side headrest damagedcentre console torn.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehiclegear stick knob wornwindscreen chippedother warning light on,scratches and dents visible around vehiclegear stick knob wornwindscreen chippedother warning light on.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehiclemeduim dent rhr guard and lhf doorlarge dent tailgate engine idling rough engine vibration in cabin engine lacking power,scratches and dents visible around vehiclemeduim dent rhr guard and lhf doorlarge dent tailgate engine idling rough engine vibration in cabin engine lacking power.,Real repair gap,Add dictionary rule,mechanical,engine_idling_rough,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehicleother warning light on,scratches and dents visible around vehicleother warning light on.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehiclepassenger side front bumper loosepaint fade on both mirrorsdrivers side front bumper scuffedfront windscreen small chip passenger sideairbag warning light on,scratches and dents visible around vehiclepassenger side front bumper loosepaint fade on both mirrorsdrivers side front bumper scuffedfront windscreen small chip passenger sideairbag warning light on.,Real repair gap,Add dictionary rule,mechanical,airbag_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehiclerhf pervious seat repairwindscreen cracked engine light warning on dashflat battery,scratches and dents visible around vehiclerhf pervious seat repairwindscreen cracked engine light warning on dashflat battery.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehiclesignificant engine noise present upon starting possible bottom end knock significant oil leak upon start general wear and tear,scratches and dents visible around vehiclesignificant engine noise present upon starting possible bottom end knock significant oil leak upon start general wear and tear.,Real repair gap,Add dictionary rule,mechanical,engine_noise_observed,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehiclesuspension requires attention driveline requires attention transmission requires attention,scratches and dents visible around vehiclesuspension requires attention driveline requires attention transmission requires attention.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehicleunknown mechanical issues check engine light on paint peeling on front bumperpaint fading on various panels rear bumper crackeddent on rear bumpertilt tray required for collectionwritten off qld,scratches and dents visible around vehicleunknown mechanical issues check engine light on paint peeling on front bumperpaint fading on various panels rear bumper crackeddent on rear bumpertilt tray required for collectionwritten-off:qld.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehiclewindscreen chipped rear bumper cracked head gasket requires attention,scratches and dents visible around vehiclewindscreen chipped rear bumper cracked head gasket requires attention.,Real repair gap,Add dictionary rule,mechanical,head_gasket_issue,high,hard_avoid,bulk high-confidence review 2026-06-26
scratches and dents visible around vehiclewindscreen chippedthird row seats require attention corrosion evident abs light on dashairbag light on dashsteering wheel torn,scratches and dents visible around vehiclewindscreen chippedthird row seats require attention corrosion evident abs light on dashairbag light on dashsteering wheel torn.,Real repair gap,Add dictionary rule,mechanical,airbag_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
seat torn all seats glovebox would not open close paint peeling various places wipers require attention paint fading various places large scuff on various places dash torn or cracked airbag light on paint peeling on various panels,seat torn all seats glovebox would not open/close paint peeling various places wipers require attention paint fading various places large scuff on various places dash torn or cracked airbag light on paint peeling on various panels.,Real repair gap,Add dictionary rule,mechanical,airbag_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
seat torn driver seat engine lacks power medium dent on left side dents or marks on body consistent with age and kilometres,seat torn driver seat engine lacks power medium dent on left side dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,engine_lacks_power,high,hard_avoid,bulk high-confidence review 2026-06-26
seat torn rh front other warning light on,seat torn rh front other warning light on.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
slight engine rattle,slight engine rattle.,Unknown,Add dictionary rule,mechanical,slight_engine_rattle,high,hard_avoid,bulk high-confidence review 2026-06-26
slight oil leak,slight oil leak.,Real repair gap,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
suspected head gasket failure,suspected head gasket failure.,Unknown,Add dictionary rule,mechanical,head_gasket_issue,high,hard_avoid,bulk high-confidence review 2026-06-26
suspension fault warning message,suspension fault warning message.,Real repair gap,Add dictionary rule,mechanical,suspension_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
suspension requires attention damaged driver side tail light,suspension requires attention damaged driver side tail light.,Real repair gap,Add dictionary rule,mechanical,suspension_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
tilt tray on pick up required,Tilt tray on pick up required.,Unknown,Add dictionary rule,mechanical,tow_or_no_drive_required,high,hard_avoid,bulk high-confidence review 2026-06-26
tilt tray or trailer required for collection,Tilt tray or trailer required for collection.,Unknown,Add dictionary rule,mechanical,tow_or_no_drive_required,high,hard_avoid,bulk high-confidence review 2026-06-26
tilt tray required on collection,tilt tray required on collection.,Unknown,Add dictionary rule,mechanical,tow_or_no_drive_required,high,hard_avoid,bulk high-confidence review 2026-06-26
tilt tray truck recommended for collection,tilt tray truck recommended for collection.,Unknown,Add dictionary rule,mechanical,tow_or_no_drive_required,high,hard_avoid,bulk high-confidence review 2026-06-26
tpms warning light on,tpms warning light on.,Real repair gap,Add dictionary rule,mechanical,tyre_pressure_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
tpms warning light on dash,tpms warning light on dash.,Real repair gap,Add dictionary rule,mechanical,tyre_pressure_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
traction control light on abs light on engine noise exhaust leak,traction control light on abs light on engine noise - exhaust leak.,Real repair gap,Add dictionary rule,mechanical,abs_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
traction control light on abs light on other warning light on flat battery,traction control light on abs light on other warning light on flat battery.,Real repair gap,Add dictionary rule,mechanical,abs_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
traction control light on abs light on paint peeling canopy dents or marks on body consistent with age and kilometres,traction control light on abs light on paint peeling canopy dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,abs_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
traction control light on once driving,traction control light on once driving.,Real repair gap,Add dictionary rule,mechanical,traction_control_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
traction control light on other warning light on front seat stains both back seat stains,traction control light on other warning light on front seat stains both back seat stains.,Real repair gap,Add dictionary rule,mechanical,traction_control_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
traction control light on reverse camera not working dents or marks on body consistent with age and kilometres,traction control light on reverse camera not working dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,traction_control_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission fault 3rd gear issue,transmission fault - 3rd gear issue.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission issue needs attention,transmission issue - needs attention.,Unknown,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission may require attention does not hold neutral position,transmission may require attention – does not hold neutral position.,Unknown,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission noise present,transmission noise present.,Unknown,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention bearing noise when driving,transmission requires attention - bearing noise when driving.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention engine oil leak paint fading multiple panels dents or marks on body consistent with age and kilometres,transmission requires attention engine oil leak paint fading multiple panels dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,engine_oil_leak,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention inspection by a third party recommended,transmission requires attention - inspection by a third party recommended.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention second gear,Transmission requires attention - second gear.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention strongly recommend inspection by qualified third party back seat stains,transmission requires attention strongly recommend inspection by qualified third party back seat stains.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention strongly recommend inspection by qualified third party engine light on large scuff on front bumper,transmission requires attention strongly recommend inspection by qualified third party engine light on large scuff on front bumper.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention strongly recommend inspection by qualified third party front seat stains both dents or marks on body consistent with age and kilometres,transmission requires attention strongly recommend inspection by qualified third party front seat stains both dents or marks on body consistent with age and kilometres.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention strongly recommend inspection by qualified third party front seat worn drivers windscreen chipped or cracked,transmission requires attention strongly recommend inspection by qualified third party front seat worn drivers windscreen chipped or cracked.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention strongly recommend inspection by qualified third party medium scratch on various panels,transmission requires attention strongly recommend inspection by qualified third party medium scratch on various panels.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention strongly recommend inspection by qualified third party medium scuff on right rear bumper,transmission requires attention strongly recommend inspection by qualified third party medium scuff on right rear bumper.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention strongly recommend inspection by qualified third party paint fading on the roof,transmission requires attention strongly recommend inspection by qualified third party paint fading on the roof.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention strongly recommend inspection by qualified third party paint peeling bonnett medium scratch on lhs front bumper,transmission requires attention strongly recommend inspection by qualified third party paint peeling bonnett medium scratch on lhs front bumper.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention strongly recommend inspection by qualified third party seat torn rhf,transmission requires attention strongly recommend inspection by qualified third party seat torn rhf.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention strongly recommend inspection by qualified third party seat torn rhf and lhf damaged rh taillight paint peeling boot front and rear cracked bumper,transmission requires attention strongly recommend inspection by qualified third party seat torn rhf and lhf damaged rh taillight paint peeling boot front and rear cracked bumper.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention strongly recommend inspection by qualified third party vehicle has no reverse gear,transmission requires attention strongly recommend inspection by qualified third party vehicle has no reverse gear.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention strongly recommend inspection by qualified third party windscreen chipped or cracked,transmission requires attention strongly recommend inspection by qualified third party windscreen chipped or cracked.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission requires attention tilt tray required for collection,transmission requires attention - tilt tray required for collection.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
transmission trim surround requires attention,transmission trim surround requires attention.,Real repair gap,Add dictionary rule,mechanical,transmission_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
turbo and clutch requires attention,turbo and clutch requires attention.,Real repair gap,Add dictionary rule,mechanical,clutch_requires_attention,high,hard_avoid,bulk high-confidence review 2026-06-26
tyre pressure warning light on dash,tyre pressure warning light on dash.,Real repair gap,Add dictionary rule,mechanical,tyre_pressure_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
tyre pressure warning light on showing front right tyre is flatsunroof visor does not close fully,tyre pressure warning light on - showing front right tyre is flatsunroof visor does not close fully.,Real repair gap,Add dictionary rule,mechanical,tyre_pressure_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
tyre pressure warning light warning light on,tyre pressure warning light warning light on.,Real repair gap,Add dictionary rule,mechanical,tyre_pressure_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
vehicle cannot be driven off site,vehicle cannot be driven off site.,Unknown,Add dictionary rule,mechanical,vehicle_cannot_be_driven_off_site,high,hard_avoid,bulk high-confidence review 2026-06-26
vehicle does not start,Vehicle does not start.,Unknown,Add dictionary rule,mechanical,vehicle_does_not_start,high,hard_avoid,bulk high-confidence review 2026-06-26
vehicle stalls randomly,vehicle stalls randomly.,Unknown,Add dictionary rule,mechanical,vehicle_stalls_randomly,high,hard_avoid,bulk high-confidence review 2026-06-26
warning light on dash overdue service inspection,warning light on dash (overdue service inspection).,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
warning light on dipped beam left failure,(warning light on - dipped beam left failure).,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
warning light on low fuel,warning light on - low fuel.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
warning lights on dash for service and broken headlight bulb,warning lights on dash for service and broken headlight bulb.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
windscreen chipped engine mechanical epc light on,windscreen chipped engine & mechanical: epc light on.,Real repair gap,Add dictionary rule,mechanical,epc_warning_light,high,hard_avoid,bulk high-confidence review 2026-06-26
worn diff bushes,worn diff bushes.,Real repair gap,Add dictionary rule,mechanical,worn_diff_bushes,high,hard_avoid,bulk high-confidence review 2026-06-26
flat battery,flat battery.,Hard-avoid skipped,Add dictionary rule,replacement,battery_issue,medium,fixed_replacement,bulk high-confidence review 2026-06-26
jump start required,jump start required.,Hard-avoid skipped,Add dictionary rule,replacement,battery_issue,medium,fixed_replacement,bulk high-confidence review 2026-06-26
engine mechanical flat battery and unknown engine issues non operational,Engine & Mechanical: Flat Battery and unknown engine issues (Non operational).,Already matched,Add dictionary rule,replacement,battery_issue,medium,fixed_replacement,bulk high-confidence review 2026-06-26
engine mechanical flat battery,Engine & Mechanical: Flat Battery.,Already matched,Add dictionary rule,replacement,battery_issue,medium,fixed_replacement,bulk high-confidence review 2026-06-26
corrosion visible chassis,corrosion visible chassis.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
medium dent on lh c pillar,medium dent on lh c pillar.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
paint fading door frame,paint fading door frame.,Context fragment,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26
a pillar,a pillar.,Context fragment,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26
heavy structural i02b impact,heavy structural]•i02b [impact.,Unknown,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
large dent on rh cant rail,large dent on rh cant rail.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
large dent on roof and passenger side cant rail large scratch on bumper bars medium dent on passenger side rear quarter panel dash torn or cracked,large dent on roof and passenger side cant rail large scratch on bumper bars medium dent on passenger side rear quarter panel dash torn or cracked.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
windscreen frame and floor,windscreen frame and floor.,Unknown,Add dictionary rule,structural,windscreen_frame_and_floor,high,hard_avoid,bulk high-confidence review 2026-06-26
corrosion visible windscreen frame,corrosion visible windscreen frame.,Real repair gap,Add dictionary rule,structural,corrosion_visible_windscreen_frame,high,hard_avoid,bulk high-confidence review 2026-06-26
medium dent on driver side cant rail medium scratch on rear bumper bar,medium dent on driver side cant rail medium scratch on rear bumper bar.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
medium scratch on driver side rear door frame,Medium Scratch on Driver Side Rear Door Frame.,Real repair gap,Add dictionary rule,structural,medium_scratch_on_driver_side_rear_door_frame,high,hard_avoid,bulk high-confidence review 2026-06-26
paint peeling on passenger a pillar,paint peeling on passenger a pillar.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
small dents on passenger side cant rail,small dents on passenger side cant rail.,Context fragment,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26
any item that is remaining uncollected within a suitable time frame will be deemed abandoned,Any item that is remaining uncollected within a suitable time frame will be deemed abandoned.,Unknown,Add dictionary rule,structural,any_item_that_is_remaining_uncollected_within_a_suitable_time_frame_will_be_deem,high,hard_avoid,bulk high-confidence review 2026-06-26
b pillar door seal ra,b pillar door seal ra.,Context fragment,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26
cant rail,cant rail.,Context fragment,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26
chassis,chassis.,Unknown,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
chassis and underbody components,chassis and underbody components.,Unknown,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
corrosion visible left a pillar,corrosion visible left a pillar.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
corrosion visible rear chassis,corrosion visible rear chassis.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
corrosion visible rear rh door frame,corrosion visible rear rh door frame.,Real repair gap,Add dictionary rule,structural,corrosion_visible_rear_rh_door_frame,high,hard_avoid,bulk high-confidence review 2026-06-26
corrosion visible throughout on various panels and underbody including structural,corrosion visible throughout - on various panels and underbody including structural.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
corrosion visible underbody components including chassis,corrosion visible underbody components including chassis.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
damage chassis rusted,Damage: Chassis Rusted.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
damage extensive under body structural corrosion,Damage: Extensive Under-Body & Structural Corrosion.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
drivers side a pillar trim requires attention,drivers side a pillar trim requires attention.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
exterior crack on the passenger door frame,exterior: crack on the passenger door frame.,Context fragment,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26
exterior damage severe corrosion evident including structural and chassis,Exterior Damage: Severe corrosion evident including structural and chassis.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
exterior severe corrosion evident including structural and underbody,exterior: severe corrosion evident including structural and underbody.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
interior damage on dashboard a pillar,interior: damage on dashboard / a pillar.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
large dent on driver side door roof frame,Large Dent on Driver Side Door Roof Frame.,Real repair gap,Add dictionary rule,structural,large_dent_on_driver_side_door_roof_frame,high,hard_avoid,bulk high-confidence review 2026-06-26
large dent on large dents all over the vehicle corrosion visible tray and chassis seat torn all seats torn or missing chunks,large dent on large dents all over the vehicle corrosion visible tray and chassis seat torn all seats torn or missing chunks.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
large dent on lh c pillar,large dent on lh c pillar.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
large dent on passenger side b pillar,Large Dent on Passenger side B pillar.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
lhs cant rail,lhs cant rail.,Context fragment,Mark context fragment,context_fragment,context_fragment,low,no_cost,bulk high-confidence review 2026-06-26
medium dent on cant rail,medium dent on cant rail.,Real repair gap,Add dictionary rule,structural,structural_damage,high,hard_avoid,bulk high-confidence review 2026-06-26
